,accuracy,precision,recall,f1,auc
Arch_Shallow_32,0.6667,0.4783,0.5789,0.5238,0.7587
Arch_Shallow_64,0.6667,0.4783,0.5789,0.5238,0.7548
Arch_Shallow_128,0.7,0.52,0.6842,0.5909,0.7484
Arch_Medium_64_32,0.7167,0.5455,0.6316,0.5854,0.7497
Arch_Medium_128_64,0.6833,0.5,0.5789,0.5366,0.7304
Arch_Deep_128_64_32,0.6833,0.5,0.5789,0.5366,0.7484
Arch_Deep_256_128_64,0.7,0.5238,0.5789,0.55,0.742
Activation_relu,0.6833,0.5,0.5789,0.5366,0.7343
Activation_leaky_relu,0.6667,0.4783,0.5789,0.5238,0.7407
Activation_elu,0.7,0.5217,0.6316,0.5714,0.7677
Dropout_0.0,0.6833,0.5,0.6316,0.5581,0.733
Dropout_0.2,0.6833,0.5,0.5789,0.5366,0.7445
Dropout_0.3,0.6833,0.5,0.6316,0.5581,0.7587
Dropout_0.5,0.7167,0.5417,0.6842,0.6047,0.7689
L2_0.0,0.6667,0.4783,0.5789,0.5238,0.7407
L2_0.001,0.7167,0.5385,0.7368,0.6222,0.733
L2_0.01,0.7,0.5294,0.4737,0.5,0.7664
L2_0.1,0.7333,0.8,0.2105,0.3333,0.8203
Optimizer_Adam,0.75,0.6111,0.5789,0.5946,0.7766
Optimizer_SGD,0.7167,0.55,0.5789,0.5641,0.7805
Optimizer_RMSprop,0.6667,0.4762,0.5263,0.5,0.7625
Best_MLP,0.7167,0.5556,0.5263,0.5405,0.7766
RF_Baseline,0.7333,0.5484,0.8947,0.68,0.7689
